,Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
1448,1,70,30,5.9968,5.405405405405405,5.06,144.6603561291059
1449,1,70,30,13.107,12.972972972972974,12.62,151.20390834891063
1450,1,70,30,2.1443,0.0,0.13,
1451,1,70,30,14.7125,11.35135135135135,14.75,132.0340204111524
1452,1,70,30,4.7769,2.1621621621621623,2.4699999999999998,157.6093930104875
1453,1,70,30,4.8046,2.1621621621621623,3.04,130.70161071007402
1454,1,70,30,12.8648,11.35135135135135,11.22,150.99771486429242
1455,1,70,30,12.534,10.27027027027027,11.499999999999998,147.54432899833296
1456,1,70,30,9.4405,6.486486486486487,8.0,173.35994952061867
1457,1,70,30,11.3309,8.108108108108109,12.379999999999999,134.8185385686405
1458,1,70,30,8.8077,4.324324324324325,7.5,125.22868404874986
1459,1,70,30,3.1455,1.0810810810810811,0.64,171.61566286106512
1460,1,75,30,15.8195,11.675675675675677,14.120000000000001,145.92474921887487
1461,1,75,30,7.7186,6.486486486486487,6.7,142.2516429945419
1462,1,75,30,8.8131,3.7837837837837838,5.470000000000001,138.6491804741032
1463,1,75,30,17.0786,12.216216216216216,17.060000000000002,142.86724223446018
1464,1,75,30,7.7334,5.664864864864865,6.88,139.05733623063898
1465,1,75,30,16.3628,9.308108108108106,14.440000000000001,128.87978108256385
1466,1,75,30,16.5526,11.837837837837839,15.449999999999998,128.31060217049205
1467,1,75,30,13.3901,8.097297297297297,12.35,124.54954682418817
1468,1,75,30,9.1101,5.47027027027027,7.609999999999999,148.41428938556726
1469,1,75,30,15.8529,11.967567567567567,15.4,164.97945818796086
1470,1,75,30,7.7624,3.7837837837837838,5.74,165.20745884959106
1471,1,75,30,11.8031,7.5675675675675675,10.580000000000002,128.69369652762367
1472,1,75,30,13.0886,4.551351351351352,11.79,120.97298971339112
1473,1,75,30,11.5076,6.486486486486487,10.0,151.71655678144253
1474,1,75,30,6.6422,4.227027027027027,5.11,163.81498247017436
1475,1,75,30,7.2353,3.7837837837837838,6.24,120.55658031243478
1476,1,75,30,4.1037,1.6216216216216217,1.53,131.16697997870304
1477,1,75,30,19.507,14.616216216216216,20.080000000000002,142.96423915711185
1478,1,75,30,7.1696,5.3945945945945954,5.85,154.20024418498997
1479,1,75,30,6.3578,4.172972972972973,5.61,160.25823559766923
1480,1,80,30,10.9523,6.486486486486487,11.01,138.84855338051804
1481,1,80,30,4.6265,2.1621621621621623,3.28,137.19932506915512
1482,1,80,30,8.6879,3.7837837837837838,7.840000000000001,148.44708789158295
1483,1,80,30,5.3019,3.2432432432432434,4.17,150.82607681741882
1484,1,80,30,11.8421,7.5675675675675675,10.5,141.3481714638519
1485,1,80,30,3.2188,0.5405405405405406,0.8800000000000001,123.1088778770343
1486,1,80,30,2.2809,0.5405405405405406,0.47000000000000003,130.07797147543258
1487,1,80,30,2.1073,0.0,0.6599999999999999,
1488,1,80,30,17.5812,7.5675675675675675,15.680000000000001,137.63157517309335
1489,1,80,30,6.4723,2.8864864864864863,5.24,122.183378186558
1490,1,80,30,10.1399,4.864864864864865,10.020000000000001,125.54634706387075
1491,1,80,30,20.4009,13.427027027027027,19.509999999999998,133.3294778765599
1492,1,80,30,3.9242,2.1621621621621623,1.48,201.30290581512227
1493,1,80,30,3.6539,2.7027027027027026,2.25,163.4558580605557
1494,1,80,30,6.0041,1.6216216216216217,3.8600000000000003,139.63784657446422
1495,1,80,30,6.3639,2.7027027027027026,4.5,114.61387339594293
1496,1,80,30,12.5046,7.902702702702702,11.540000000000001,145.0095289799896
1497,1,80,30,3.8698,1.827027027027027,2.2,127.21533666722225
1498,1,80,30,8.0112,4.410810810810811,6.9799999999999995,173.83446474603767
1499,1,80,30,8.2216,5.232432432432432,8.34,140.03939467842287
1500,1,90,30,4.5705,2.1621621621621623,2.7,165.80699581980542
1501,1,90,30,18.0707,8.64864864864865,17.78,138.841137527319
1502,1,90,30,13.0726,5.945945945945946,11.18,166.23568577867593
1503,1,90,30,7.0087,1.3513513513513513,5.17,128.19045514408757
1504,1,90,30,8.8359,3.7837837837837838,8.78,124.96554258858929
1505,1,90,30,7.4414,3.7837837837837838,6.28,127.40298584579129
1506,1,90,30,3.8501,1.6216216216216217,1.6199999999999999,169.72215263519303
1507,1,90,30,5.0254,2.454054054054054,3.35,147.4206952144057
