Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation,5percentRG,5percentRP
3,20,25,71-80,17.7676,4.891891891891892,7.345000000000001,127.5393237102242,274.78751018155947,265.95043712808723
3,20,25,81-90,13.607949999999999,5.945945945945946,5.6,176.80832705435049,381.500080940007,366.35314770469546
3,20,25,91-100,17.2059,7.2972972972972965,7.265000000000001,143.56312395670474,342.04041927276546,323.3714663469828
3,30,25,1-10,24.04215,11.254054054054055,11.665000000000001,119.05223701459558,354.999615650433,342.926206918768
3,30,25,11-20,10.8466,4.594594594594595,4.13,138.2901439270087,321.2620667359265,339.07814504732806
3,30,25,21-30,20.152849999999997,8.032432432432433,8.68,153.09983000228698,324.8327424897336,314.49608463732216
3,30,25,31-40,20.88575,9.62702702702703,9.05,133.70909756944155,329.898579116077,309.6361232676318
3,30,25,41-50,22.989150000000002,9.367567567567567,10.110000000000001,133.12521337221187,285.9967761029826,264.22819483386087
3,30,25,51-60,18.72875,7.724324324324324,7.6049999999999995,123.7053798418467,313.41130363714757,301.00583817389884
3,30,25,61-70,11.4486,2.7027027027027026,3.825,109.1369960949067,384.4690671394499,379.0236232657479
3,30,25,71-80,16.871450000000003,4.967567567567568,6.369999999999999,123.32188455247827,277.0434428168505,266.4270465246652
3,30,25,81-90,11.530899999999999,4.216216216216216,3.665,148.0899474602864,378.40206746516395,382.65430752687496
3,30,25,91-100,24.64205,10.454054054054055,11.73,121.8204343257953,261.31779303057345,246.1611057607895
3,40,25,1-10,11.38545,3.416216216216216,3.9850000000000003,136.45807901661416,414.6038151313372,393.40378906416447
3,40,25,11-20,16.076249999999998,4.054054054054054,5.795,108.75524557034034,342.8214116671363,330.54154494468605
3,40,25,21-30,16.132693446723362,7.45945945945946,6.875,123.51508592793634,339.0132114275372,324.49398117048673
3,40,25,31-40,14.256895981655868,4.587974996627243,5.891408090117769,144.5794474598552,336.6934281063286,321.8146268526021
3,40,25,41-50,28.732100000000003,12.77837837837838,13.520000000000001,120.40466415999624,316.11901770334447,301.9280885676606
3,40,25,51-60,16.18675,7.275675675675674,6.08,123.9840567073931,337.6948643829604,334.92966906580557
3,40,25,61-70,23.8093,8.37837837837838,10.145,120.93662574722654,314.05006486965465,298.166107864415
3,40,25,71-80,35.78335,10.0,14.559999999999999,108.67282247380649,314.3674977715792,297.6370035936094
3,40,25,81-90,7.31665,2.4324324324324325,2.32,145.85354348805157,476.060393991759,485.016291675722
3,40,25,91-100,6.1788,1.3513513513513513,1.1800000000000002,171.20011774790734,419.58870790660677,406.1873870451851
3,50,25,1-10,13.699850000000001,3.513513513513513,4.63,118.64873259804953,417.56664371256556,411.0839316622508
3,50,25,11-20,18.3791,7.2972972972972965,7.6450000000000005,159.5628649622555,307.7043732015053,302.7818025445196
3,50,25,21-30,20.393549999999998,6.756756756756758,8.295,116.47982819369776,230.10329089917528,216.77515562525338
3,50,25,31-40,15.479000000000003,5.827027027027027,6.57,122.85542450735835,324.44537813680415,313.85813504341536
3,50,25,41-50,17.8726,6.827027027027027,7.525,117.4525024385885,319.5643168271988,316.103417662909
3,50,25,51-60,9.441799999999999,2.4324324324324325,2.95,114.23457392972777,433.33178520372513,431.5745570028388
3,50,25,61-70,10.4908,1.8918918918918919,3.16,102.67710981400535,424.2741877548692,427.529971041895
3,50,25,71-80,11.583099999999998,3.5135135135135136,3.8150000000000004,119.44507564175159,416.3361796011788,403.1434815913533
3,50,25,81-90,22.820500000000003,7.718918918918919,9.495,118.21594394495469,310.47498993489626,290.9633426314159
3,50,25,91-100,14.681149999999999,4.51891891891892,5.275,115.4833434640387,392.02128721880115,388.56782061591707
3,60,25,1-10,12.26345,4.545945945945945,4.615,125.37371597974241,362.771975426023,358.8950536163942
3,60,25,11-20,7.081949999999999,1.0810810810810811,1.3850000000000002,111.37149718180646,435.3025965575986,445.47738844196294
3,60,25,21-30,17.087349999999997,6.486486486486487,7.17,115.06769155699392,363.5238808641521,360.24917697436206
3,60,25,31-40,20.31925,6.216216216216216,8.38,120.3738656286229,365.24758887708487,352.53264087991704
