Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
1,100,1,34.3183,1.08108,29.62,120.251
1,100,1,29.7523,1.08108,24.99,110.233
1,100,1,37.8017,0.540541,31.4,111.7
1,100,1,20.6701,0.454054,16.28,111.951
1,100,1,20.2697,0.540541,16.25,142.839
1,100,1,15.6497,0,11.52,0
1,100,1,39.454,1.08108,37.1,159.245
1,100,1,2.4434,0,0.05,0
1,100,1,34.674,1.54595,29.84,113.848
1,10,5,9.2935,1.08108,6.78,116.755
1,10,5,5.5505,0.540541,2.63,307.242
1,10,5,12.6586,1.66486,8.38,118.461
1,10,5,3.0055,0.540541,0.34,286.824
1,10,5,18.2029,4.86486,15.11,155.347
1,10,5,14.9428,3.78378,12.48,148.652
1,10,5,9.7389,0.540541,7.95,126.423
1,10,5,13.4215,2.7027,11,131.521
1,10,5,37.1507,8.64865,32.93,126.695
1,10,5,22.7418,4.86486,19.79,184.969
1,10,5,11.4105,3.24324,8.89,131.113
1,10,5,18.7261,3.81622,17.62,119.059
1,10,5,22.9977,4.32432,18.38,116.896
1,10,5,27.0448,7.92432,22.82,175.157
1,10,5,11.7374,2.7027,8.26,166.67
1,10,5,15.0534,3.24324,12.47,131.266
1,10,5,37.2888,6.48649,29.22,123.413
1,10,5,2.4086,0,0.57,0
1,10,5,14.4327,3.78378,12.62,139.731
1,10,5,24.2594,6.11892,20.92,164.314
1,20,5,7.3792,1.27568,4.47,119.208
1,20,5,10.564,2.81081,9.43,124.478
1,20,5,10.2887,1.08108,7.94,109.995
1,20,5,17.2587,5.40541,13.87,147.754
1,20,5,2.3824,0,0.11,0
1,20,5,9.0406,1.76216,6.7,115.699
1,20,5,23.8018,4.32432,23.08,116.954
1,20,5,5.021,1.62162,2.88,178.416
1,20,5,5.8441,2.16216,4.88,186.852
1,20,5,23.8519,4.32432,19.45,173.135
1,20,5,4.2025,1.08108,2.5,124.212
1,20,5,5.4512,0,2.76,0
1,20,5,8.0601,0.540541,7.37,136.299
1,20,5,9.3455,4.32432,8.68,138.358
1,20,5,12.43,1.08108,9.33,207.596
1,20,5,24.6681,7.02703,23.89,137.73
1,20,5,10.3785,3.28649,9.33,157.446
1,20,5,11.8197,2.7027,9.86,122.406
1,20,5,30.4508,4.61622,25.68,179.574
1,20,5,20.6815,5.40541,16.76,156.662
1,30,5,31.1816,2.7027,23.7,116.832
1,30,5,8.8737,1.40541,6.97,117.325
1,30,5,21.6057,3.24324,15.97,128.99
1,30,5,22.5964,4.90811,19.97,145.918
1,30,5,18.0926,3.24324,13.19,145.792
1,30,5,23.2162,2.16216,19.15,117.997
1,30,5,10.9995,3.24324,8.29,155.521
1,30,5,12.2302,1.58919,8.68,118.915
1,30,5,4.8326,1.62162,3.2,131.465
1,30,5,23.1663,4.61622,21.17,144.136
1,30,5,20.5133,3.78378,17.66,137.167
1,30,5,15.4634,1.76216,12.74,120.197
1,30,5,20.3288,5.40541,15.91,134.796
1,30,5,26.7027,6.48649,21.67,123.596
1,30,5,4.8812,1.08108,2.7,113.364
1,30,5,24.6464,4.42162,19.58,122.004
1,30,5,11.3541,1.62162,8.41,134.952
1,30,5,25.5476,4.90811,23.06,120.509
1,30,5,31.0242,7.02703,25.96,122.829
1,30,5,10.1588,2.16216,7.58,136.665
1,40,5,11.6191,2.7027,8.27,149.733
1,40,5,2.2399,0,0.26,0
1,40,5,14.5406,2.16216,10.44,119.432
1,40,5,19.7949,3.78378,15.47,127.213
1,40,5,35.9775,7.56757,33.73,120.973
1,40,5,1.7818,0,0.19,0
1,40,5,10.2281,2.37838,9.52,119.177
1,40,5,10.1511,2.7027,7.6,153.35
1,40,5,15.9011,4.32432,12.29,145.698
1,40,5,2.0521,0,0,0
1,40,5,15.9226,3.24324,14.17,117.247
1,40,5,15.658,4.86486,12.84,120.399
1,40,5,11.4861,3.24324,9.22,121.324
1,40,5,18.8939,3.24324,14.73,120.05
1,40,5,2.2572,0,0.07,0
1,40,5,29.3812,2.7027,22.89,117.972
1,40,5,2.0314,0,0.01,0
1,40,5,2.595,0,0.54,0
1,40,5,2.4716,0,0.2,0
1,40,5,14.0603,2.16216,11.01,130.4
1,50,5,2.3467,0,0,0
1,50,5,19.4565,3.24324,18.03,141.504
1,50,5,9.2417,0.540541,7.27,116.947
1,50,5,15.8267,4.32432,12.84,159.29
