,Promoter,Threshold,Activation,S5PInt,S2PInt,Contact,DistActivation
3702,2,30,20,10.5941,5.405405405405405,7.2299999999999995,159.56253440597442
3703,2,30,20,5.3577,2.1621621621621623,1.75,159.17571287372184
3704,2,30,20,18.3959,7.5675675675675675,10.84,150.24825446737006
3705,2,30,20,12.783,7.5675675675675675,8.3,147.58403542588349
3706,2,30,20,16.6332,5.945945945945946,9.74,135.1668352956159
3707,2,30,20,11.0711,6.486486486486486,6.18,155.43013278995153
3708,2,30,20,19.5389,8.291891891891892,11.9,143.69435132297622
3709,2,30,20,14.6613,9.18918918918919,9.540000000000001,167.33346033764835
3710,2,30,20,11.9393,5.405405405405405,6.12,135.6061536461399
3711,2,30,20,4.6148,1.945945945945946,1.73,149.48320156218892
3712,2,30,20,9.3417,1.0810810810810811,4.04,126.55588364817936
3713,2,30,20,9.8628,5.405405405405405,5.99,137.8465806001956
3714,2,30,20,14.9572,4.324324324324325,8.36,144.48064835442827
3715,2,30,20,20.7749,11.891891891891891,14.770000000000001,137.73584350685186
3716,2,30,20,20.7829,9.18918918918919,14.029999999999998,124.28801790347991
3717,2,30,20,4.6573,0.5405405405405406,1.4,119.57930715237369
3718,2,30,20,17.2477,7.718918918918919,11.440000000000001,129.29549853774617
3719,2,30,20,22.7652,9.18918918918919,13.919999999999998,128.20311486072018
3720,2,40,20,4.3875,1.0810810810810811,0.89,118.69878500990967
3721,2,40,20,17.9054,5.9459459459459465,9.88,124.68124152775793
3722,2,40,20,17.5669,8.108108108108109,11.32,128.0590689628467
3723,2,40,20,3.6547,0.5405405405405406,0.8700000000000001,134.42126792047836
3724,2,40,20,3.3086,1.0810810810810811,0.45,176.17025326145728
3725,2,40,20,8.5131,4.324324324324325,5.3100000000000005,131.9630277749722
3726,2,40,20,9.0202,2.0432432432432437,4.55,122.8445000928043
3727,2,40,20,23.2074,12.972972972972974,15.75,142.84608522654443
3728,2,40,20,16.1391,3.7837837837837838,8.75,118.03892819441042
3729,2,40,20,4.7139,0.5405405405405406,1.25,123.75908344784806
3730,2,40,20,9.9443,5.405405405405405,6.12,149.6267857910292
3731,2,40,20,16.2258,6.4,10.2,140.2169735929115
3732,2,40,20,24.5234,6.832432432432432,14.439999999999998,125.13029812577562
3733,2,40,20,7.0387,4.324324324324325,3.8600000000000003,151.40112278427685
3734,2,40,20,24.3379,11.35135135135135,15.3,132.6253064488749
3735,2,40,20,25.5059,11.35135135135135,15.710000000000003,123.40336586386292
3736,2,40,20,7.7014,2.7027027027027026,3.41,134.27978560960952
3737,2,40,20,13.2961,5.405405405405405,7.330000000000001,175.9055591344094
3738,2,40,20,6.3237,2.1621621621621623,2.42,179.67578818316156
3739,2,40,20,10.5372,5.945945945945946,6.6,120.36194429069248
3740,2,50,20,15.8046,9.72972972972973,9.45,143.6785738207005
3741,2,50,20,31.5434,15.135135135135135,21.290000000000003,142.4289187790401
3742,2,50,20,8.14,3.7837837837837838,3.6799999999999997,132.6676646025936
3743,2,50,20,10.0848,4.324324324324325,5.029999999999999,136.5356576700084
3744,2,50,20,8.241,3.7837837837837838,4.55,145.0829079919067
3745,2,50,20,18.6192,8.64864864864865,12.02,123.01257845336733
3746,2,50,20,11.9538,4.324324324324325,6.16,123.86681475246804
3747,2,50,20,9.6798,3.794594594594595,5.529999999999999,116.85279647176125
3748,2,50,20,6.9765,3.7837837837837838,2.75,160.6866380964862
3749,2,50,20,8.2327,2.1621621621621623,3.8200000000000003,141.99938323775825
3750,2,50,20,10.135,2.7027027027027026,5.53,113.75597230597756
3751,2,50,20,9.8369,5.945945945945946,6.470000000000001,127.97180476533504
3752,2,50,20,27.8236,9.372972972972972,17.419999999999998,121.48981434806868
3753,2,50,20,6.8282,1.6216216216216217,2.5100000000000002,128.8910456745099
3754,2,50,20,2.9189,0.6054054054054054,0.5700000000000001,118.07327470584124
3755,2,50,20,2.8258,0.0,0.18,
3756,2,50,20,13.105,4.324324324324325,7.279999999999999,131.6658805626541
3757,2,50,20,10.1386,5.945945945945946,6.82,136.24090895332353
3758,2,50,20,15.6299,7.1567567567567565,10.059999999999999,129.27477293333337
3759,2,50,20,2.2647,0.0,0.0,
3760,2,60,20,12.5002,7.027027027027027,8.26,152.74397054196282
3761,2,60,20,14.8862,5.405405405405405,8.32,139.2618576132597
3762,2,60,20,10.6595,4.324324324324325,6.08,140.36742828687477
3763,2,60,20,4.0393,0.5405405405405406,0.79,125.67390232522904
