,Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation
87,1,10,1,,38.86,2.7027027027027026,34.05,123.95567576256153
88,1,10,1,,2.0245,0.0,0.0,
89,1,10,1,,1.778,0.0,0.0,
90,1,10,1,,1.957,0.0,0.0,
91,1,10,1,,91.548,13.513513513513514,82.15,129.2917201827295
92,1,10,1,,107.0855,2.7027027027027026,85.65,109.61452186630015
93,1,10,1,,35.763,2.7027027027027026,35.9,136.74357866255613
94,1,10,1,,1.477,0.0,0.0,
95,1,10,1,,101.541,0.10810810810810811,76.3,126.77736091468428
96,1,10,1,,2.0085,0.0,0.0,
97,1,10,1,,2.134,0.0,0.0,
98,1,10,1,,2.1835,0.0,0.0,
99,1,10,1,,1.9285,0.0,0.0,
100,1,20,1,,2.244,0.0,0.1,
101,1,20,1,,66.0425,5.405405405405405,55.6,112.9651365281007
102,1,20,1,,59.614,0.0,56.95,
103,1,20,1,,58.863,0.0,49.75,
104,1,20,1,,46.3115,8.108108108108109,41.85,116.05302528444776
105,1,20,1,,76.337,0.0,58.15,
106,1,20,1,,61.5575,2.7027027027027026,46.45,129.8119484299083
107,1,20,1,,86.5005,0.0,77.2,
108,1,20,1,,1.4665,0.0,0.15,
109,1,20,1,,18.5735,5.405405405405405,15.7,205.80282781626966
110,1,20,1,,73.0345,2.7027027027027026,58.4,135.06571776012944
111,1,20,1,,76.233,5.405405405405405,64.3,117.30859645116908
112,1,20,1,,2.568,0.0,0.0,
113,1,20,1,,17.182,0.0,9.5,
114,1,20,1,,1.8865,0.0,0.0,
115,1,20,1,,1.7105,0.0,0.0,
116,1,20,1,,57.289,2.7027027027027026,49.55,110.65638367050009
117,1,20,1,,1.591,0.0,0.0,
118,1,20,1,,3.66,0.0,0.55,
119,1,20,1,,2.1,0.0,0.0,
120,1,20,1,,36.2345,0.0,31.6,
121,1,20,1,,1.4435,0.0,0.0,
122,1,20,1,,18.224,2.7027027027027026,15.0,109.22424633118163
